,Comentario
160,"Muy agradable visita, cumplen con protocolos covid al pie de la letra. Muy interesante la historia de nuestras raíces."
161,"Un museo excelentísimo donde los haya. Es tan grande que lo ideal es, para estudiantes e investigadores, leer o estudiar en casa una parte de la historia prehispánica o de las diferentes culturas indígenas del país y luego visitar esa sala en concreto con todo detalle. Si estás de paso como turista, es aconsejable visitar las salas en las que más interés tengas o en las que quieras profundizar más, porque hay demasiada información."
162,Excelentes medidas sanitarias y muy buenas salas de exposiciones dentro del muse. Muy recomendado
163,Uno de mis museos favoritos es una belleza en todos los sentidos
164,"El mejor museo de las culturas mexicanas, sin duda visita obligada"
165,"El museo como tal es una pieza de arte, ya que el diseño de este, tanto en arquitectura como en paisaje, es cuidado hasta el más mínimo detalle, las celosías, los jardines y las estructuras con las que cuentan son impactantes."
166,"Es un espacio espectacular, prepárate para caminar mucho, lo malo es que no nos avisaron que están cerrando más temprano y nos falto ver algunas salas"
167,"Qué lugar espectacular, lleno de cultura. Mucho orden, impecable."
168,"Es uno de los museos arqueológicos más destacados e importantes del planeta, para muchos que les es confuso la cronología de todos los pueblos ancestrales de mesoamerica, el museo compagina los resultados de décadas de investigación, las colecciones curadas de piezas con grandiosas  reproducciones que permite al visitante comprender e interiorizar en todas las culturas de México y mesoamerica."
169,"Es un increíble lugar para conocer toda la historia de nuestro país porque hacen que se aprenda más rápido y de una manera divertida por que solo es cosa de visualizar como eran los objetos que utilizaban, como como eran sus casas y que utilizaban para crearlas, como eran las personas y su manera de pensar, entre muchos otros."
170,"Es el museo más hermoso del mundo. Pero no coman allí, la comida es horrorosa y cara."
171,"Completamente recomendable! Múltiples actividades para el público en general, muy lindas y enriquecedoras en cultura."
172,Impresionante!!! Toda la exposición abierta.
173,"Una experiencia increíble, son dos pisos llenas de esculturas, artesanías ancestrales, vasijas de barro, tallas en piedra y muchas cosas más para y aprender acerca del origen del hombre y de la cultura de México, un museo muy bien distribuido qué hace su recorrido fácil al público"
174,"espectacular, vale la pena darse una vuelta, les recomiendo ir con tiempo para poder disfrutarlo"
175,"Siempre me ha gustado este lugar,pasas un buen rato estando ahí recorriendo las salas que tú quieras."
176,Una experiencia única sobre la historia mexicana.
177,"El mejor museo de historia precolombina en México! Si estás de visita turística en CDMX, es obligado visitarlo."
178,"Enorme museo con una gran historia, tienen estrictas medidas de seguridad covid-19 y eso es muy bueno. Se recomienda lleva calzado ligero porque si te llevas una buena caminada en recorrer todo el museo. Vista obligada si vas a la Ciudad de México."
179,Al parecer en la taquilla no están muy bien informados con respecto a las instituciones que cuentan con descuento en la entrada pero en general es un museo hermoso y repleto de información histórica. Y ahora con los cuidados que hay que tener con respecto al uso del cubrebocas y la limpieza se ve que todos en el museo están muy comprometidos.
180,Servicio en general: Es muy organizado e interesante. En lo personal es una opción interesante para visitar en México.
181,Hermoso museo para pasar todo el día
182,"Excelente colección de las culturas indígenas mexicanas de todos los tiempos. Vale mucho la pena dedicarle tiempo a cada sala, venir preparados a pasar mínimo 4 horas si desea admirar toda la colección."
183,"Me gustó, muy organizado y hermosa la fuente central"
184,Excelente lugar para asistir con la familia o pareja y aprender de varias culturas
