,Comentario
79,"Si te gustan los museos y viajes al pasado, sin duda es muy buena opción, costo accesible, me encantó que menores de 13 años no pagan, RECOMENDABLE."
80,"Es precioso y da información muy valiosa y sorprendente sobre los pueblos prehispánicos. Les recomiendo llevar calzado cómodo pues el recorrido es muy largo, pero muy entretenido. Mi sección favorita fue la de animales y los significados místicos que tenían para las antiguas culturas."
81,"Encantado con el museo, el recorrido muy bien diseñado."
82,"Quieres ver de cerca lo que hacían nuestros antepasados? Ve ahí y admira su trabajo, si eres mexicano se te pondrá la piel de gallina solo de pensar en lo que hicieron las culturas prehispánicas. Su arte y su forma de vida, su cosmovisión, sus dioses."
83,"Algunas partes del recorrido se encontraban cerradas, tampoco se pudo apreciar el ""cuerpo"" de coyolxauhqui.
Para el acceso si cuentas con credencial de estudiante, docente o Inapam, este es gratuito. El recorrido puede hacerse en una hora."
84,"Este Museo es de los más representativos y admirados de nuestro país.
Un hermoso recinto que merece ser admirado por cada uno de los Mexicanos
🇲🇽♥️"
85,"Definitivamente un lugar a visitar en el corazón de la Ciudad de México, los lunes la entrada es libre para nacionales. Además de ver las ruinas la entrada al museo es sumamente recomendable. En la imagen se puede apreciar la entrada al museo del que hablo."
86,"Templo Mayor... simplemente  Enigmático, místico e increíble.

Recomendado visitar esté sitio, les recomiendo Llevar calzado cómodo, ya que es extenso el museo. No lleven alimentos, las bebidas te las retienen y al salir te las entregan.

El costo es de $70.00 Marzo 2018.
El recorrido lo haces en 2 a 3 hrs."
87,"Muy buen museo, tiene muchas salas, bien distribuidas. Varios pisos
Cuenta una historia.
Creo que en sus alrededores deben existir más elementos sin desenterrar
Tiene lugares para comer cercanos"
88,"Tenía años que no lo visitaba, pero me pareció más extenso, con 8 salas por visitar, es una vista obligada a la CDMX. Muy interesante y recomendable. entrada $80 pesos, los domingos es gratis para los Mexicanos estancia mínima tres horas"
89,"Excelente información, nunca me imagine que estuviera tan grande este museo. Mucho que aprender y muy económico. Lo recomendaré. Saludos."
90,"Maravilloso!!! Cada pieza cuenta nuestro origen..cuanta historia y cultura por la cual sentirse orgullosos y fuertes. Viva Mexico-Tenochtitlan, viva la grandeza de nuestro origen!!! Viva Teotihuacán!! Vivan los cuatro Tezcatlipocas, Viva Ometeotl y los señores del Mictlán
Tlazocamati Ometeotl"
91,"Excelente sitio, en donde encontrarás cultura , diversión y entretenimiento.
De muy fácil acceso.
La seguridad está perfecta, los boletos no son nada caros y con credencial de estudiante es gratis.
La limpieza es la adecuada y el personal amable.
Vale la pena visitarlo, pero lleva gorra por qué la necesitarás.
No dejan entrar ningún tipo de alimento o bebida, así que evita tener que tirarlos y consume hasta el final del recorrido."
92,"Quede muy satisfecho con la exposición de piezas arqueológicas, aparte hay una muestra de cerámica y utensilios posterior a la conquista. Lleva zapatos cómodos y si llegas temprano, no tendrás que hacer fila para ingresar"
93,Es grande y bonito solo que tienes que esperar para entrar y algunas partes de las instalaciones no están cubiertas así que les suguieto llevar una gorra o sombrero
94,"Uno de los museos importantes de la CDMX, cómo museo tiene diverso contenido, enriquecedor lo que ofrece para conocer sobre las antiguas culturas.
Cómo usuaria lo que no me gustó, es que impiden ingresar con agua, entiendo lo de los alimentos, pero el agua si es necesaria para la hidratación, ya que en la zona arqueológica cae el sol a todo lo que da, no hay manera de cubrirte en una sombra, además, si realmente te tomas enserio el recorrido, mínimo son más de dos horas de estar caminando, obviamente te da sed!!!. Si no permiten el acceso con una botella de agua, entonces que tengan bebederos.
El costo de la entrada es de $80 pesos, recibe muchísimas visitas al día, mínimo eso debería ofrecer."
95,"Hermoso lugar!
Siempre me ha gustado conocer más de mis raíces y nuestra historia, lo mejor es que tenemos tanto bagaje cultural. Espero que siga creciendo el acervo y los conocimientos que tenemos de nosotros y nuestro antecesores"
96,"Uno de los museos que nos hablan más de la grandiosa cultura mexica. En pleno corazón de la Ciudad de México este lugar está presente para recordarnos la majestuosidad de nuestras raíces. Los domingos no cobran el acceso, pero si prefieres verlo sin tanta gente bien vale la pena pagar los $70 que cobran para adultos nacionales."
97,"Es interesante conocer más sobre nuestra cultura mexicana, hay guias que ayudan a la explicación de este templo o si lo prefieres puedes ir observando de manera individual, también cuenta con guias bilingües."
98,"El templo mayor es un buen lugar para aprender sobre el desarrollo de la cultura mexica y sus tradiciones el museo es ideal para aprender sin distracciones, es ideal para los amantes de la historia y estudiantes que quieran aprender más del tema.
El costo es gratuito para menores de 14 años, estudiantes y adultos mayores."
99,"La primera vez que visitas el centro de la CDMX jamás imaginarías que podemos encontrar restos prehispánicos de nuestra cultura. Es sorprendente. El recorrido es breve pero muy interesante poder ver de primera mano los pasadizos por donde caminaron nuestros antepasados. Para finalizarlo, nada mejor que el museo donde podemos ver más de cerca las tumbas, restos óseos, piedras preciosas y un sin fin de piezas de barro que representan lo mismo a Dioses que a objetos del día a día, animales, alimentos e infinidad de objetos de decoración y ofrenda. Un museo bien aprovechado, limpio, estético lleno de valiosas piezas."
100,Hace tiempo que está descuidado pero sin duda es uno de los mejores en el centro de la Ciudad de México. Ideal para ir con familia o amigos especialmente aprovechando los descuentos de estudiante que otorgan. Un Excelente museo para recordar parte de la historia de México.
101,"El museo es de lo mejor que podrías visitar. Puedes comprobar la historia de CDMX allí. Es recomendable ir por la mañana antes del medio día ya que hay menos sol y menos calor para disfrutar de la exhibición a gusto.
Hay guías que te pueden explicar muy bien lo que vas a ver. Si eres estudiante no te olvides de llevar tu credencial y podrás ingresar gratis."
102,"Un lugar increíble para ir y conocer mas sobre la cultura mexica, uno de Los mejores museos."
103,"El museo del templo mayor resguarda este bloque de historia de la cultura Mexica.
Actualmente cuenta con una exposición temporal, es importante tener tiempo para el recorrido que va de unas 3-4 horas, para público nacional, los domingos no se paga (presentar ID, credencial), para el resto, el costo de acceso es de 80 pesos."
104,"Como siempre es costumbre en las zonas arqueológicas del país, la conservación y mantenimiento es excelente. El personal muy atento y cumpliendo siempre con su cometido. Me gustaría mucho que en todos los museos y zonas arqueologicas del país los guías para explicar al público nacional fueran gratuitos pues existe mucho interés en la población por la cultura y es mucha la gente que al visitar estos centros de van sin la debida información."
105,"Un gran museo, además de económico, recuerden llegar muy temprano ya los domingos es gratis a los nacionales y por tal motivo se llena.
El costo para extranjeros y nacionales es de $ 80, y los domingos gratis, además de descuentos para estudiantes, menores de edad y personas de la tercera edad."
106,Exelente lugar para recorrer en familia y sentirnos parte de la historia de nuestro hermoso y grandioso país...
107,"Interesante lugar herencia de nuestros antepasados

No cobran a nacionales"
108,"Un mágico y excelente lugar.
Cada día la experiencia de visitarlo es diferente,además si le agregamos que día con día hay descubrimientos en toda esta zona que no dejan de sorprendernos.
Se encuentra llena de creaciones de nuestros antepasados prehispánicos, cuenta con un museo de sitio y recorridos por el interior de las ruinas.
sin lugar a dudas será una experiencia inolvidable."
109,"Está muy hermoso, el lugar es increíble, un lugar lleno de historia, cultura y tradición. Me encanta ver lo que queda de este lugar y me pone a pensar en todos los eventos que se dieron aquí.
Es un lugar hermoso que nos recuerda nuestro pasado y quiénes somos."
110,Creo que es bueno hecho de preservar un poco de historia a pesar de la creciente urbanización de la que sufre la Ciudad de México. El recorrido empieza por las ruinas de donde empezó a construirse el Templo Mayor. Las exhibiciones del museo también muy completas. Muy recomendable.
111,"El museo es muy bonito es increíble todo lo que ha podido rescatar de dicho inmueble muy limpio muy acequible, niños menores de 12 no pagan entrada ni estudiantes ni maestros ocupas aproximadamente 3 horas para hacer el paseo completo es muy cultural muy muy recomendable"
112,"Es un museo moderno, con mucha infomación muy importante y bien completa, la entrada cuesta $75 y por todo lo que te ofrece es un muy buen precio. Hay bastantes objetos de la época prehispánica. Hay mucha seguridad. Es bastante recomendando visitar esta joya de la historia de México, los niños aprenden mucho y los adultos también."
113,"Es un excelente museo, recomendado para aquellos fanáticos que les gusta la cultura antigua de México ❤"
114,"Lugar lleno de historia, todas las cosas muy bien conservadas e interesante al caminar sobre las ruinas, el museo muy completo lleno de artículos de gran importancia histórica, un gran lugar para conocer en familia o solo o en pareja, ya que son unas ruinas nada alejadas de la ciudad ni muy costosas para llegar como lo son algunas"
115,"De momento solo hay acceso al museo del sitio, no a la zona arqueológica. El museo esta bien, pero le falta punch (modernizarlo) y limpieza. Parece que los ultimos 2 pisos tienen pocas visitas pues varias de las vitrinas estaban muy empolvadas."
116,"Maravilloso, alucinante, grandioso, IMPERDIBLE."
117,"Esta muy remodelado el museo. Cuesta $80 la entrada, al inicio les quitan bebidas y alimentos y después la mochila 🤨... La explicación de muchos artefactos es repetitiva. Tienen extensas colecciones de nuevos hallazgos y en la parte de las ruinas también han excavado más . En general es un lugar que considero que vale el cansancio del paseo"
118,"Increíble la exposición arqueológica, y magnífico en el buen estado en el que se encuentran las ruinas. Exorto al turismo nacional e internacional de continuar con el cuidado de esta excelente oportunidad de viajar al pasado"
119,"Bueno,pero falta que alguien de la explicación de las ruinas que están ahí,  ( el fin de semana )lo del museo tiene su descripción  excelente. El costo $80.00 estudiantes y profesores gratis con tu credencial"
120,"Muy bonito, grande y economico. Maestros y alumnos no pagan."
121,"Una de los mejores museos que he visitado en la ciudad de México, con piesas realmente auténticas y una perfecta restauración del museo... tiene un amplio espacio y los beneficios que puedes obtener son muchos, poder conocer un poco de la cultura mexicana y sobretodo en un área muy turística y conglomerada cómo lo es es centro histórico.
Sería de mayor ayuda si contaran con guías de la explotación para así captar aún más los detalles e información interesante de éste lugar... No obstante es un excelente lugar para ir a turistear y centrarse en el mundo de la prehistórica que es muy interesante.
Conocer el pasado de México.
La civilización que había.
La arquitectura que tenían."
122,"Super interesante!!!
Impresionante!!
Mucho trabajo efectivo de resguarde y protección pero con gran esfuerzo de permitir ilustrar al visitante"
123,"Excelente museo muy bonito todo, se aprende mucho de nuestros antepasados, de la importancia de la cultura prehispánica, aparte de todo al público nacional no se le cobra la entrada los Domingos pero valdría la pena pagar los 80 pesos entre semana para apreciar todo con calma por qué el Domingo hay muchas familias haciendo tareas y en ocasiones no se puede leer las fichas explicativas."
124,"El museo es muy bonito. Sus 8 salas cuentan con hermosas piezas prehispánicas y  coloniales, y amplia información sobre la historia de Tenochtitlan y sus pobladores. Es algo que no hay que perderse al visitar la CDMX"
