,Comentario
70,"Es un museo grande, sin embargo siento que las salas están mal acomodadas y que están muy lejos unas de otras.Si tienes la oportunidad de ir te recomiendo llevar algún snack ya que los alimentos son excesivamente caros.Toma en cuenta que deberás dejarlo en paquetería ya que no puedes ingresar alimentos al museo, lo puedes consumir en el comedor.
El museo también cuenta con un restaurante gourmet.
En mi caso yo visité el museo por parte de un paseo escolar y visitamos muchas salas pero nos daban muy poco tiempo.Por eso te recomiendo ir por tu cuenta para ir a tu ritmo y tranquilo.Alguna áreas están en muy buen estado pero otras (por el tiempo) ya están un poco dañadas.

>> Te recomiendo este museo es muy interesante para niños de más de cinco años que le interese la ciencia, naturaleza, astronomia, etc. :).  <<"
71,"Este museo es increíble. Es bueno para los niños ya que hay muchas muestras interactivas e igual los padres pueden participar. No olviden que pueden también entrar al mariposario y al planetario, de verdad valen la pena es muy entretenido.
La entrada general es de 70 pesos."
72,"Muy buen museo, se está renovando en cuanto a la actualización de las salas. Me parece que es un buen lugar para visitar en familia, si eres maestro te ofrece una plática y te guían para que planees la visita con tus alumnos. Vale la pena dedicarle tiempo y hacer un trabajo de metacognición con los hijos y/o alumnos."
73,"Es un lugar magnífico. Ya está  abierto el museo y los circuitos  vamos a rodar en bicicleta y a disfrutar la belleza del lugar.
Es una maravilla contar con esos espacios que nos acogen con generosidad y nos brindan oportunidad de estar al aire libre, hacer ejercicio y seguir cuidándonos durante esta época  de pandemia."
74,"Hace muchísimo tiempo que no iba al museo, tiene muchas cosas que ver y hacer. Esta muy grande todas las salas y mucho que aprender. La variedad de juegos es increíble y sobre todo hay muchos talleres para aprender. Solamente que la sala de universo ya no era lo que antes y eso decepcionó y hay juegos que no servían. Pero la experiencia es muy buena."
75,"Una gran gran experiencia que vale la pena vivir, tiene 15 salas que ni de chiste alcanzas a recorrer en un solo día, las visitas guiadas muy completas y la atención muy amable, el lugar es recomendado para todas las edades, demasiada información para procesar en una sola visita. Altamente recomendable."
76,"Vale la pena pagar $80 pesos. Porque en cada sala que te encuentras son únicas y aprendes muchísimo.
La última vez que fui solo visite la sala cerebro, que por cierto aprendí más de lo que imaginé y a medida que iba leyendo información, me metía más en el tema.
Por cierto, creo que la página dice que abren a la 9:00 AM...pero no es así, abren a las 10:00 AM"
77,"Un museo interactivo diseñado para todas las edades. Recomiendo llegar desde temprano para poder recorrerlo todo, abre de 9 a 6.
Su atencuon en general es buena, el planetario esta formidable."
78,"Es un museo donde abarca muchas cosas básicas, tiene  información muy simple que es fácil de entender y comprender(especialmente para los niños). Me gustó mucho que en ciertas horas hacen como una breve exposición de las diferentes salas donde te encuentres y te dan la explicación más dinámica, con ejemplos en pocas palabras más interactiva;aparte las exposiciones temporales son muy cool. Le están haciendo algunas renovaciones que le van a venir bien al museo."
79,"Un museo muy completo y con muchas actividades interactivas, necesitas tiempo para recorrer bien todas las salas del museo ya que son un poco extensas. El personal del museo es muy amable y muy capacitado para la explicación de las exposiciones."
80,"Vale la pena visitar este museo, sobre todo con niños chiquitos, hay muchas actividades y talleres que hacer. Cuenta con exposiciones temporales y un planetario. Estos tres se pagan por aparte."
81,"Muy buen museo, puntos en contra a mi parecer, es que los niños de 2 años paguen boleto de 60 pesos, creo que debería de ser a partir de 5 años.
Otra cosa es que el costo entre boleto general y de estudiante es prácticamente el mismo 70 y 60 pesos respectivamente.
Cuesta 10 pesos el estacionamiento tiempo libre y 10 pesos por persona el planetario.
Aprendes mucho de ciencia en general.
Martes es 2x1 el ingreso al museo."
82,"Un lugar muy bueno. Con la pandemia, organizan recorrido. Vale la pena llevar a los niños a familiarizarse con la ciencia. Por el momento solo abren sábado y domingo. Llevar calzado cómodo, el recorrido es largo"
