,Comentario
126,"Precioso edificio, se siente una vibra interesante pues la historia dicta que fue un lugar que representa la independencia de nuestro país. Un punto obligado de la lista de visitas a este hermoso lugar"
127,"Hermoso , y con mucha historia"
128,Muy buen museo. La museografía ha cambiado y se disfruta bastante. Lo que no me gustó es que no le hicieron válida mi identificación como maestro.
129,"Salas muy bien distribuidas, con un excelente montaje y buen material, falta personal guía o un recorrido más interactivo"
130,"Lo visite por la noche, aun se respira la nostalgia del tiempo y de los acontecimientos del lugar, digno de visitar con mayor tiempo, en esta ocacion la ciudad había demasiada gente para disfrutar de este y otros lugares, regresaremos para continuar viendo sus calles y callejones..el mercado Hidalgo es excepcional.. Saludos"
131,"Muy interesante, bien mantenido, con murales increíbles y exhibiendo algunas piezas de artesanías prehispánicas"
132,Es impresionante poder disfrutar nuestra historia y este lugar tiene mucho que mostrar en su museo. Lo recomiendo ampliamente.
133,Buenas exposiciones.. La historia de los personajes destacados de nuestra independencia y de algunos no tan populares pero no menos importantes... El inmueble muy bien conservado y el trato de su personal de guardia aceptable. Visitenlo en domingo es gratis...
134,"Uno de los sitios históricos más importantes de nuestro México, pues aquí se inicia la lucha por nuestra independencia. Es visita obligada para quien visita Guanajuato. El edificio está muy bien conservado y el museo tiene varias piezas interesantes en exhibición. En los alrededores de la Alhóndiga hay  varios lugares para comer desde un bocadillo hasta una comida completa. También hay varios hoteles cercanos. En algunas ocasiones se llevan a cabo eventos de carácter oficial."
135,"El museo imperdible si vas a Guanajuato, ofrecen breves explicaciones por guías voluntarios cada cierto tiempo que son bastante interesantes y que complementan perfectamente la visita a cada sala. Una parte importante de la historia de México se encuentra aquí."
136,"Una extraordinaria experiencia, nuevamente un hermoso, didáctico y muy interesante recorrido por nuestra hermosa historia de México, el movimiento de independendia, la revolución, nuestra basta cultura, hermosos coloridos en presentes en el hogar, en el trabajo y por supuesto en nuestros símbolos patrios, donde Guanajuato brilla y fue y sigue siendo centro de la historia y de nuestra bella historia de vida con una inolvidable convivencia familiar, Muchas Felicidades por su organización, atención, amabilidad del personal y mil gracias por la vivencia Museo Regional de Guanajuato!!"
137,"La historia que guardan estos lugares es magnífica, llena de historia y emblemáticas hazañas, en la parte principal se concentran grupos de personas para armar las famosas callejoneadas donde lo fascinante son los recorrido por lugares precisos acompañados de una buena distracción el canto."
138,"Es la sala de exhibición más hermosa y pulcra que he visitado en Guanajuato, sin embargo en lo personal me emociona más la primer sala donde comienza con las culturas prehispánicas"
139,"Increíble experiencia la visitarla, recordar que ahí es una parte importante se nuestra historia hace que se te erize la piel al ver el edificio."
140,Excelente lugar histórico. Tiene todo lo necesario para conocer la historia de la independencia. Tiene cosas muy interesantes e historicas. Cuenta con muchas salas con lo que se entiende mejor. Los murales con los que cuenta son impresionantes. Un lugar muy importante de Guanajuato.
141,"Está muy bonito! Muy bien conservado y explican bastante bien la historia, me gustó  bastante :) si llevan credencial de estudiante la entrada es gratis."
142,"La entrada es muy rápido, el lugar es mágico puedes imaginar como las personas de
épocas atras caminaron por este lugar...hay mucha historia y el costo aproximadamente no mas de 50 pesos, ideal para una visita relajada después de caminar por las calles de Guanajuato...les compartimos fotos <3 b&d"
143,Muy cultural ya que es muy emblemático para la historia de todo el continente americano cuna de la independencia de México mucha seguridad muy limpio muy detallado cronológicamente en cada una de las etapas de la historia fotografías ropa uniformes espadas vasijas etcétera de varias culturas
144,"Gran museo de la historia de la Independencia de México 🇲🇽.
Antes de iniciar tu recorrido, un guia te explica brevemente la historia de este lugar y así aprecies más los secretos de la Alhondiga de Granaditas.
La entrada cuesta $52, aunque hay ocasiones que es gratuito y por $10 puedes obtener un triptico del mapa del edificio
100 % Recomendado"
145,"Muy bello museo, lleno de mucha historia!!, nos lleva de manera agil y amena el descubrir nuestra historia."
146,"Es un lugar que debes de visitar como mexicano, sus salas te muestran el desarrollo histórico desde el México prehispánico, independiente y parte del porfirismo. Una de sus salas plasma cronológicamente parte de la historia de México algo que para los estudiantes es de suma utilidad. Cuenta con murales maravillosos que realmente no te puedes perder."
147,"Todo en buenas condiciones, no vale la pena comprar Entrada para el museo de la muerte algo que te ofrecen también, muy mal que te cobren por tomar fotos a las momias de todo quieren sacar lana!!"
148,Un lugar muy rico en historia... Con exposiciones muy relevantes en cuanto a su legado cultural... Es un lugar muy importante para nuestro país ya que en este lugar se dió la primera batalla entre liberales y conservadores...
149,Hermoso lugar y nuevas salas. En domingo entrada libre hasta las 2 de la tarde
150,"Tienen descuento para estudiantes y maestros, al llegar un señor te explica algo de la historia del lugar y es ahí cuando descubres que muchas cosas que te enseñan los libros de texto en la educación básica, es falso, no falso del todo pero sí te hace ver que Hidalgo en realidad fue un inútil, que siempre perdió sus batallas y que en los ""héroes "" de ma independencia en realidad fueron otros... el resto del recorrido lo haces tu sólo, observas tomas fotos y te vas a algún lugar a comer :)"
151,"Muy bien cuidado el sitio, limpio y hermoso. Mucha historia dentro de él, junto a sus exposiciones que van contando un poco de nuestra historia como México. Por el otro lado, considero que su colección no es tan grande como otros museos, pero eso no le resta mérito.
En ocasiones hay eventos interesantes.
Como en casi todos los museos, con credencial de estudiante el acceso es gratuito, lo cual es muy bueno ya que, para grandes grupos, el costo por entrar puede elevarse bastante."
152,"Si les gusta la historia es excelente, gratutio a estudiantes con identificacion vigente y adulto mayor, el precio ondula entre 50 y 60, no se de que dependa eso me cobraron y a otro hasta 80 y 90.
Es practicamente el centro."
153,"Este es uno de los lugares icónicos que tienes que visitar si vienes a la ciudad de Guanajuato, aunque por fuera parezca muy simple la verdad nunca falta tomarse una foto a las faldas de este edificio, muy recomendable visitarlo por la mañana, al atardecer o por la noche porque no hay lugar donde puedas protegerte del sol, o en el peor de los casos, de la lluvia"
154,"Un lugar lleno de historia. No nos cobraron entrada, al parecer por ser día especial, las exposiciones narran a la perfección la historia de México, tienen exposiciones muy interesantes que pueden llamar la atención de niños."
155,"Este uno de los lugares más emblemáticos de Guanajuato y de todo México. El actual Museo, fue un lugar donde guardaban semillas, granos y demás provisiones en la época virreinal. Después fue cuartel militar, cárcel y terminó en un lugar qué transpira historia en cada muro, en cada puerta.
Tiene bastantes salas, desde Mesoamérica hasta el México contemporáneo. Cada sala tiene muy buen material genuino de la época pero le hace falta más fichas de identificación para hacer más fácil su descripción y que no pasen desapercibido (en la sala de la independencia está el sable de José María Morelos y nadie, o casi nadie, lo sabe si no se dedican a la historia como yo). Lugar perfecto para llevar a toda la familia, se divertirán y pasarán un rato muy agradable aunado de historia pura.
De lunes a sábado cobran 55 pesos a los adultos pero domingo entrada gratis a los mexicanos.
A fuera, hay recuerdos y souvenirs para qué lleven a sus seres queridos."
156,La riqueza histórica del bajío tan grande como la minera
157,"La Alhóndiga es un must do en Gto.
La entrada a público gral cuesta $65, te impresionan los murales y las diferentes salas (yo quedé en particular fascinada con la sala de sellos)
En marzo 2020 se llevó a cabo la apertura del Rally México, ¡es algo espectacular!"
158,Excelente lugar para visitar  ya que esta lleno de mucha historia que te hará comprender parte de Guanajuato. Los lunes el museo está cerrado.
159,"Es el museo más grande de la ciudad y una visita indispensable ya que aquí se luchó la primera batalla de la Guerra de Independencia de México.

El edificio en si es impresionante. Así como los murales de Chávez Morado. Cuenta con la colección más grande de sellos prehispánicos, varios objetos del virreinato, una colección fotográfica de finales del siglo XIX y varios pinturas originales. Además está un altar a la patria.

La entrada es gratis para estudiantes y maestros. Y es para todos los domingos.
Sino cuesta unos $70.

Una foto en la campana de la independencia es obligatoria."
