,Nombre,Temática,Adscripción,Página web,Entidad,Municipio
521,Museo Estatal de la Máscara,Arte,Casa de Cultura Hermenegildo Bustos/Instituto Estatal de la Cultura del Estado de Guanajuato,,Guanajuato,Purísima del Rincón
522,Museo Hermenegildo Bustos,Arte,Instituto Estatal de la Cultura de Guanajuato,,Guanajuato,Purísima del Rincón
523,Museo Histórico Casa de Hidalgo (La Francia Chiquita),Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/247-museo-historico-casa-de-hidalgo-la-francia-chiquita,Guanajuato,San Felipe
524,Museo de la Ciudad Francisco Orozco Muñoz,,Ayuntamiento de San Francisco del Rincón,,Guanajuato,San Francisco del Rincón
525,Museo de Historia de Mineral de Pozos,Historia,Fundación Para el Desarrollo de los Pueblos Mineros (Fundemin),,Guanajuato,San Luis de la Paz
526,Museo de Sitio,,Fideicomiso de Inversión y Administración de Parque Guanajuato Bicentenario,http://www.guanajuato.mx/destinos/4/62,Guanajuato,San Luis de la Paz
527,Museo José y Tomás Chávez Morado,Arte,Instituto Estatal de la Cultura de Guanajuato,http://cultura.guanajuato.gob.mx,Guanajuato,Silao de la Victoria
528, Museo del Automóvil ,,Gobierno del Estado/Parque Guanajuato Bicentenario,,Guanajuato,Silao de la Victoria
529,Museo de Sitio de la Zona Arqueológica de Arroyo Seco,Arqueología,Secretaría de Cultura/INAH,,Guanajuato,Victoria
530,Museo Ex Convento Agustino de San Pedro y San Pablo,Arqueología,Secretaría de Cultura/INAH,,Guanajuato,Yuriria
531,Museo de la Máscara,,Gobierno del Estado de Guerrero/Complejo Cultural Siete Regiones,,Guerrero,Acapulco de Juárez
532,Museo Histórico Naval de Acapulco,Historia,"Museo Histórico Naval de Acapulco, A.C.",,Guerrero,Acapulco de Juárez
533,Museo y Salón de la Fama del Deporte Guerrerense,Especializado,Casa de la Cultura de Acapulco/Instituto del Deporte de Guerrero,,Guerrero,Acapulco de Juárez
